ENERGY/MEV , Li(11BH4-xDx x~64%) T.lt.3 BACK , ERR/B , Li(11BH4-xDx x~64%) T.lt.3 FORWARD , ERR/F , Li(11BH4-xDx x~64%) T.lt.3  , ERR/T
4.40462 , 0.0858579 , 0.0219363 , 0.0133627 , 0.00841735 , 0.0499003 , 0.0118179
4.42664 , 0.0858579 , 0.0218817 , 0.0133627 , 0.00839639 , 0.0499003 , 0.0117885
4.44877 , 0.0802864 , 0.0210211 , 0.0231547 , 0.0110889 , 0.0519490 , 0.0119372
4.47102 , 0.0764502 , 0.0203967 , 0.0298967 , 0.0125911 , 0.0533596 , 0.0120283
4.49337 , 0.0764502 , 0.0203459 , 0.0298967 , 0.0125598 , 0.0533596 , 0.0119983
4.51584 , 0.0764502 , 0.0202952 , 0.0298967 , 0.0125285 , 0.0533596 , 0.0119684
4.53842 , 0.0776060 , 0.0203330 , 0.0282723 , 0.0121815 , 0.0531365 , 0.0118964
4.56111 , 0.0783090 , 0.0203358 , 0.0272843 , 0.0119554 , 0.0530008 , 0.0118410
4.58391 , 0.0783090 , 0.0202851 , 0.0272843 , 0.0119257 , 0.0530008 , 0.0118115
4.60683 , 0.0783090 , 0.0202346 , 0.0272843 , 0.0118960 , 0.0530008 , 0.0117821
4.62987 , 0.0915734 , 0.0217722 , 0.0275840 , 0.0120282 , 0.0598347 , 0.0124901
4.65302 , 0.0986732 , 0.0225201 , 0.0277445 , 0.0120837 , 0.0634926 , 0.0128354
4.67628 , 0.0986732 , 0.0224640 , 0.0277445 , 0.0120537 , 0.0634926 , 0.0128034
4.69966 , 0.0986732 , 0.0224081 , 0.0277445 , 0.0120236 , 0.0634926 , 0.0127716
4.72316 , 0.0933665 , 0.0215485 , 0.0228100 , 0.0108606 , 0.0583704 , 0.0121230
4.74678 , 0.0908797 , 0.0211087 , 0.0204976 , 0.0102612 , 0.0559702 , 0.0117935
4.77051 , 0.0908797 , 0.0210561 , 0.0204976 , 0.0102356 , 0.0559702 , 0.0117641
4.79436 , 0.0908797 , 0.0210037 , 0.0204976 , 0.0102101 , 0.0559702 , 0.0117348
4.81834 , 0.0858557 , 0.0204072 , 0.0196204 , 0.00990243 , 0.0530030 , 0.0113978
4.84243 , 0.0838083 , 0.0201310 , 0.0192628 , 0.00976069 , 0.0517938 , 0.0112419
4.86664 , 0.0838083 , 0.0200808 , 0.0192628 , 0.00973638 , 0.0517938 , 0.0112139
