##Some comment
#q(1/A)	R	Err
0.010522	0.0105311	0
0.010384	0.0102388	0
0.010246	0.0103665	0
0.010108	0.00960055	0
0.00997	0.00814103	0
0.009832	0.00939538	0
0.009694	0.00861947	0
0.009556	0.00834276	0
0.009418	0.00781004	0
0.00928	0.00798502	0
0.009142	0.00770882	0
0.009004	0.00692445	0
0.008866	0.00698837	0
0.008728	0.00626095	0
0.00859	0.00629225	0
0.008452	0.00571204	0
0.008314	0.00538788	0
0.008176	0.00515859	0
0.008038	0.00852296	0
0.0079	0.0113509	0
0.007762	0.00457444	0
0.007624	0.00409217	0
0.007486	0.0042362	0
0.007348	0.00525946	0
0.00721	0.0139439	0
0.007072	0.0107535	0
0.006934	0.0319005	0
0.006796	0.0314915	0
0.006658	0.0482868	0
0.00652	0.0135999	0
0.006382	0.0311039	0
0.006244	0.0372403	0
0.006106	0.0328093	0
0.005968	0.02575	0
0.00583	0.00758179	0
0.005692	0.00396256	0
0.005554	0.00681049	0
0.005416	5.14561e-005	0
0.005278	0.00385867	0
0.00514	6.94913e-005	0
0.005002	6.10822e-006	0
0.004864	4.86681e-005	0
0.004726	2.5557e-006	0
0.004588	1.10194e-005	0
0.00445	4.2175e-005	0
0.004312	6.84547e-005	0
0.004174	4.55866e-005	0
0.004036	2.31875e-005	0
0.003898	2.79993e-005	0
0.00376	2.78916e-005	0
0.003622	3.21667e-005	0
0.003484	3.34129e-005	0
0.003346	1.62735e-005	0
0.003208	2.97283e-005	0
0.00307	6.51897e-005	0
0.002932	3.77281e-005	0
0.002794	0.00808385	0
0.002656	0.00575655	0
0.002518	0.00577658	0
0.00238	9.55576e-005	0
0.002242	5.26097e-005	0
0.002104	7.70631e-005	0
0.001966	0.000108326	0
0.001828	0.0037094	0
0.00169	9.47222e-005	0
0.001552	8.50229e-005	0
0.001414	7.47356e-005	0
0.001276	0.00014555	0
0.001138	0.0012837	0
0.001	0.000260256	0
